,V_ID,kmeans_all_9,kmeans_nocity&county_6,kmeans_nocity_6,c_,j_,ht_,s_,cs_,e_
533,65000010-064,6,1,3,1,1,1,2,0,13
534,65000010-083,4,0,2,2,1,0,0,0,4
535,65000010-019,6,4,5,22,1,0,0,0,13
536,65000010-110,6,5,5,22,14,0,0,1,13
537,65000010-093,6,1,3,4,4,0,0,0,13
538,65000010-037,6,1,3,12,12,0,1,0,1
539,65000010-044,6,5,5,12,18,1,2,1,1
540,65000010-024,6,5,5,1,14,0,0,1,1
541,65000010-048,6,1,3,13,3,1,0,0,1
542,65000010-113,8,2,1,10,8,0,1,0,14
543,65000010-052,6,1,3,2,17,0,0,0,3
544,65000010-051,6,1,3,6,17,1,2,0,13
545,65000010-005,6,5,5,14,10,0,0,1,13
546,65000010-104,6,5,5,5,20,0,2,1,1
547,65000010-103,6,1,3,22,20,0,1,0,13
548,65000010-046,6,4,5,5,11,1,2,1,13
549,65000010-119,6,1,3,9,1,1,2,0,13
550,65000010-027,6,5,5,11,10,0,0,1,13
551,65000010-022,6,5,5,2,20,0,0,1,1
552,65000010-105,6,1,3,5,1,0,0,0,13
553,65000010-102,6,1,3,9,11,0,1,0,13
554,65000010-035,6,5,5,12,12,0,0,1,13
555,65000010-007,6,5,5,1,20,0,0,1,13
556,65000010-039,6,5,5,23,17,0,0,1,13
557,65000010-075,6,5,5,1,20,0,0,1,13
558,65000010-117,6,1,3,9,1,0,2,0,13
559,65000010-068,6,1,3,1,11,1,0,0,13
560,65000010-122,6,1,3,22,9,1,0,0,13
561,65000010-118,6,4,5,5,9,1,2,1,13
562,65000010-040,6,5,5,22,20,1,2,1,13
563,65000010-041,6,3,5,7,20,0,0,1,15
564,65000010-126,8,2,1,0,4,1,1,0,8
565,65000010-108,6,1,3,9,20,1,0,0,13
566,65000010-115,6,5,5,22,10,0,0,1,13
567,65000010-072,6,1,3,23,14,0,0,0,13
568,65000010-018,6,4,5,11,10,0,0,1,13
569,65000010-109,6,1,3,22,10,1,0,0,13
570,65000010-062,6,1,3,22,20,1,2,0,13
571,65000010-029,6,5,5,1,17,1,0,1,1
572,65000010-002,6,5,5,11,4,0,0,1,13
573,65000010-089,6,0,2,7,17,0,0,0,8
574,65000010-057,6,1,3,12,12,1,0,0,13
575,65000010-065,6,5,5,18,18,0,0,1,1
576,65000010-050,6,1,3,18,8,1,0,0,3
577,65000010-015,6,1,3,22,10,0,1,0,13
578,65000010-017,8,2,1,9,17,0,1,0,12
579,65000010-006,6,5,5,6,8,0,0,1,1
580,65000010-100,8,2,1,5,1,1,1,0,13
581,65000010-099,6,1,3,23,3,1,0,0,1
582,65000010-124,4,0,2,10,6,1,0,0,2
583,65000010-031,6,3,5,15,8,0,0,1,15
584,65000010-038,6,1,3,22,1,0,0,0,13
585,65000010-020,6,5,5,1,14,0,0,1,13
586,65000010-059,6,1,3,23,8,1,0,0,13
587,65000010-001,6,4,5,11,4,0,0,0,13
588,65000010-025,6,5,5,1,9,0,0,1,13
589,65000010-008,6,5,5,6,6,0,0,1,1
590,65000010-070,6,5,5,2,13,0,0,1,1
591,65000010-056,1,1,3,1,20,1,1,0,13
592,65000010-095,6,0,2,19,9,1,0,1,8
593,65000010-074,6,0,2,23,11,0,0,1,12
594,65000010-076,6,0,2,5,14,0,0,1,12
595,65000010-071,6,1,3,23,20,0,0,0,13
596,65000010-049,6,1,3,14,4,1,0,0,1
597,65000010-030,6,5,5,23,8,0,0,1,13
598,65000010-096,8,2,1,2,3,1,0,0,4
599,65000010-032,6,5,5,1,14,0,2,1,13
600,65000010-011,6,4,5,23,13,0,0,0,13
601,65000010-012,6,1,3,22,9,0,1,0,13
602,65000010-121,6,5,5,23,14,1,0,1,13
603,65000010-106,6,5,5,1,20,1,2,1,13
604,65000010-090,8,2,1,15,3,0,1,0,8
605,65000010-086,4,0,2,12,12,0,0,0,4
606,65000010-087,6,4,5,10,18,0,0,1,11
607,65000010-028,6,5,5,12,18,0,0,1,13
608,65000010-111,6,5,5,22,10,0,0,1,13
609,65000010-043,6,5,5,1,20,1,2,1,13
610,65000010-084,6,5,5,23,11,0,0,1,13
611,65000010-085,6,5,5,22,9,0,0,1,13
612,65000010-067,6,1,3,1,20,1,0,0,13
613,65000010-003,6,4,5,14,16,0,0,1,13
614,65000010-077,6,5,5,5,20,0,0,1,1
615,65000010-080,6,0,2,18,15,0,0,1,4
616,65000010-016,6,1,3,9,1,0,1,0,13
617,65000010-055,4,0,2,5,20,1,0,0,12
618,65000010-069,6,1,3,23,11,1,0,0,13
619,65000010-116,6,5,5,11,20,0,0,1,13
620,65000010-063,6,1,3,1,1,1,2,0,13
621,65000010-047,6,1,3,22,1,1,2,0,13
622,65000010-066,6,5,5,1,20,0,0,1,13
623,65000010-009,8,2,1,5,17,0,1,0,4
624,65000010-101,8,2,1,14,9,0,1,0,4
625,65000010-004,6,5,5,14,4,0,0,1,13
626,65000010-097,8,2,1,7,1,1,1,0,4
627,65000010-042,6,4,5,23,11,1,2,0,13
628,65000170-011,2,2,1,19,4,0,2,0,7
629,65000170-005,4,0,2,15,17,0,0,0,0
630,65000170-015,4,0,2,18,18,0,0,0,4
631,65000170-008,4,0,2,20,7,0,0,0,0
632,65000170-012,2,2,1,0,4,0,1,0,9
633,65000170-014,2,2,1,19,4,0,1,0,7
634,65000170-009,4,0,2,2,11,0,0,0,14
635,65000170-001,4,0,2,15,17,0,0,0,10
636,65000170-002,4,0,2,15,3,0,0,0,5
637,65000170-006,8,2,1,19,4,0,0,0,0
638,65000170-007,4,0,2,20,2,0,0,0,0
639,65000170-013,2,2,1,0,4,0,1,0,9
640,65000170-004,4,0,2,15,11,0,0,0,8
641,65000170-003,4,0,2,10,12,0,0,0,5
642,65000170-010,8,2,1,0,4,0,0,0,9
643,65000170-017,4,0,2,2,11,0,0,0,14
644,65000170-016,4,0,2,18,12,0,0,0,4
645,65000070-007,8,2,1,15,3,1,2,0,13
646,65000070-001,4,0,2,2,17,1,0,0,14
647,65000070-002,8,2,1,2,17,1,1,0,14
648,65000070-003,8,2,1,15,3,1,1,0,5
649,65000070-042,0,3,0,19,9,1,0,1,14
650,65000070-036,2,2,1,2,3,1,1,0,5
651,65000070-038,4,1,3,9,1,1,0,0,13
652,65000070-005,2,0,2,18,3,1,1,0,4
653,65000070-031,4,0,2,15,17,1,0,0,5
654,65000070-025,4,0,2,19,9,1,0,0,10
655,65000070-024,2,0,2,10,18,1,1,0,5
656,65000070-015,4,1,3,2,17,1,0,0,1
657,65000070-004,4,0,2,15,17,0,0,0,8
658,65000070-040,4,0,2,19,1,1,0,0,14
659,65000070-041,4,0,2,19,9,1,0,0,14
660,65000070-028,4,0,2,2,17,0,0,0,14
661,65000070-012,2,0,2,19,9,0,1,0,10
662,65000070-014,4,1,3,1,1,1,0,0,13
663,65000070-039,4,0,2,1,1,1,0,0,12
664,65000070-035,4,0,2,2,15,1,0,0,5
665,65000070-016,4,0,2,15,3,1,0,0,15
666,65000070-017,4,0,2,5,3,1,0,0,4
667,65000070-033,4,0,2,15,15,1,0,0,15
668,65000070-034,4,1,3,9,8,0,0,0,13
669,65000070-022,4,0,2,19,9,1,0,0,7
670,65000070-018,4,0,2,19,17,1,0,0,0
671,65000070-020,2,0,2,2,8,0,1,0,4
672,65000070-019,4,0,2,18,15,0,0,0,4
673,65000070-026,4,0,2,10,18,1,0,0,8
674,65000070-021,2,2,1,19,9,1,1,0,0
675,65000070-011,2,0,2,5,1,1,1,0,12
676,65000070-027,1,1,3,14,16,1,1,0,13
677,65000070-010,1,1,3,1,11,1,1,0,13
678,65000070-008,1,1,3,1,1,0,1,0,13
679,65000070-013,4,0,2,0,4,1,0,0,4
680,65000070-030,1,1,3,5,14,0,1,0,1
681,65000070-029,2,0,2,5,1,0,1,0,4
682,65000070-009,1,1,3,6,11,0,1,0,1
683,65000070-006,4,0,2,15,3,0,0,0,8
684,65000070-037,1,1,3,1,20,1,1,0,13
685,65000070-023,8,2,1,19,9,0,1,0,10
686,65000070-032,4,0,2,15,17,0,0,0,8
687,65000040-051,1,4,5,5,14,1,1,1,13
688,65000040-022,1,4,5,11,10,1,1,1,13
689,65000040-046,2,0,2,23,20,1,1,0,12
690,65000040-014,1,0,2,23,0,1,1,1,12
691,65000040-018,1,4,5,11,10,1,1,1,13
692,65000040-005,1,4,5,22,10,1,1,1,13
693,65000040-013,2,0,2,18,18,1,1,0,4
694,65000040-033,1,1,3,23,14,1,1,1,13
695,65000040-062,2,0,2,18,18,1,1,0,4
696,65000040-057,1,4,5,11,10,1,1,1,13
697,65000040-036,1,4,5,11,10,1,1,1,13
698,65000040-004,1,1,3,22,10,1,1,1,13
699,65000040-043,1,1,3,11,10,1,1,1,13
700,65000040-019,1,1,3,11,4,1,1,0,13
701,65000040-027,1,4,5,11,20,1,1,1,13
702,65000040-044,1,1,3,23,14,1,1,1,13
703,65000040-042,1,1,3,11,4,1,1,0,13
704,65000040-032,1,4,3,22,10,1,1,0,13
705,65000040-025,1,4,5,22,14,1,1,1,13
706,65000040-056,1,1,3,9,14,1,1,0,13
707,65000040-058,1,4,5,11,10,1,1,1,13
708,65000040-039,1,1,3,6,13,1,1,0,13
709,65000040-037,1,4,5,11,10,1,1,1,13
710,65000040-010,1,1,3,14,16,1,1,0,13
711,65000040-002,1,1,3,11,10,1,1,1,13
712,65000040-045,8,2,1,11,10,1,2,0,13
713,65000040-041,1,1,3,8,4,1,1,0,13
714,65000040-040,1,4,3,1,20,1,1,0,13
715,65000040-055,1,1,3,5,14,1,1,1,13
716,65000040-053,1,4,5,11,10,1,1,1,13
717,65000040-059,1,1,3,1,20,1,1,0,13
718,65000040-016,1,1,3,23,14,1,1,0,13
719,65000040-034,1,1,3,1,14,1,1,0,13
720,65000040-035,1,1,3,5,14,1,1,0,13
721,65000040-017,1,1,3,1,14,1,1,0,13
722,65000040-008,1,1,3,1,10,1,1,0,13
723,65000040-049,1,1,3,9,20,1,1,0,13
724,65000040-026,1,4,5,23,14,1,1,1,13
725,65000040-011,1,1,3,23,14,1,1,0,13
726,65000040-015,1,1,3,9,19,1,1,1,13
727,65000040-009,1,1,3,8,4,1,1,0,13
728,65000040-061,1,4,5,22,10,1,1,1,13
729,65000040-007,1,1,3,22,10,1,1,0,13
730,65000040-054,1,4,5,11,10,1,1,1,13
731,65000040-006,1,1,3,22,14,1,1,0,13
732,65000040-028,1,4,3,5,19,1,1,0,13
733,65000040-048,1,1,3,7,10,1,1,0,13
734,65000040-030,1,1,3,1,13,1,1,1,13
735,65000040-031,1,1,3,23,14,1,1,1,13
736,65000040-038,1,1,3,23,13,1,1,0,13
737,65000040-001,1,1,3,22,14,1,1,0,13
738,65000040-060,1,1,3,22,10,1,1,0,13
739,65000040-047,1,1,3,5,14,1,1,0,1
740,65000040-050,1,1,3,22,10,1,1,0,13
741,65000040-021,8,2,1,7,10,1,1,0,12
742,65000040-020,1,1,3,23,11,1,1,0,13
743,65000040-012,1,1,3,1,14,1,1,0,13
744,65000040-023,1,1,3,6,14,1,1,0,13
745,65000040-052,1,4,5,0,4,1,1,1,13
746,65000040-003,1,1,3,6,11,1,1,1,13
747,65000040-024,0,3,0,23,14,1,1,1,12
748,65000040-029,1,4,5,11,10,1,1,1,13
749,65000110-026,4,0,2,13,15,1,0,0,14
750,65000110-028,6,1,3,11,4,1,0,0,13
751,65000110-011,2,2,1,0,9,1,1,0,5
752,65000110-050,2,2,1,19,20,1,1,0,5
753,65000110-012,2,2,1,15,17,1,1,0,8
754,65000110-004,4,1,3,4,16,1,0,0,13
755,65000110-017,8,2,1,8,4,1,1,0,0
756,65000110-020,4,0,2,13,11,1,0,0,14
757,65000110-019,4,0,2,5,17,1,0,0,4
758,65000110-029,4,0,2,18,15,1,0,0,6
759,65000110-048,4,0,2,1,11,1,0,0,12
760,65000110-041,4,1,3,1,20,1,0,0,13
761,65000110-025,4,0,2,14,10,1,0,0,12
762,65000110-040,4,0,2,19,1,1,0,0,15
763,65000110-042,4,0,2,2,11,1,0,0,8
764,65000110-036,4,0,2,1,11,1,0,0,6
765,65000110-047,4,0,2,5,0,1,0,0,4
766,65000110-008,4,1,3,13,18,1,0,0,1
767,65000110-030,4,0,2,13,15,1,0,0,6
768,65000110-037,8,2,1,8,19,1,1,0,8
769,65000110-015,8,2,1,15,3,1,1,0,10
770,65000110-032,4,0,2,15,11,1,0,0,14
771,65000110-007,4,1,3,6,11,1,0,0,1
772,65000110-003,4,0,2,15,14,1,0,0,14
773,65000110-039,4,0,2,7,14,1,0,0,5
774,65000110-023,2,2,1,0,16,1,1,0,9
775,65000110-018,4,0,2,0,9,1,0,0,15
776,65000110-005,4,0,2,5,20,1,0,0,12
777,65000110-022,0,3,0,7,17,1,0,1,10
778,65000110-014,4,0,2,15,3,1,0,0,2
779,65000110-027,4,0,2,2,0,1,0,0,15
780,65000110-043,8,2,1,15,0,1,1,0,10
781,65000110-049,4,0,2,19,19,1,0,0,6
782,65000110-016,8,2,1,8,4,1,1,0,9
783,65000110-038,4,0,2,8,4,1,0,0,5
784,65000110-021,4,0,2,15,11,1,0,0,9
785,65000110-045,4,0,2,18,0,1,0,0,12
786,65000110-024,4,0,2,7,14,1,0,0,14
787,65000110-034,4,0,2,5,20,1,0,0,6
788,65000110-002,4,1,3,14,4,1,0,0,13
789,65000110-046,4,0,2,15,14,1,0,0,5
790,65000110-006,4,1,3,5,3,1,0,0,1
791,65000110-001,4,0,2,14,4,1,0,0,12
792,65000110-031,4,0,2,2,11,1,0,0,12
793,65000110-035,4,0,2,1,20,1,0,0,6
794,65000110-009,2,2,1,15,3,1,1,0,0
795,65000110-013,8,2,1,19,9,1,0,0,5
796,65000110-033,4,0,2,23,8,1,0,0,4
797,65000110-010,2,2,1,0,9,1,1,0,14
798,65000110-044,8,2,1,4,16,1,1,0,9
799,65000160-017,1,1,3,12,12,1,1,0,1
800,65000160-006,2,0,2,15,1,1,1,0,5
801,65000160-011,1,1,3,23,1,1,1,0,13
802,65000160-001,4,0,2,0,4,0,0,0,9
803,65000160-003,2,0,2,13,15,1,1,0,14
804,65000160-014,2,2,1,1,1,0,1,0,12
805,65000160-008,2,2,1,7,1,0,1,0,8
806,65000160-005,4,0,2,15,17,1,0,0,5
807,65000160-013,2,0,2,19,9,0,1,0,14
808,65000160-004,2,0,2,14,1,1,1,0,12
809,65000160-016,1,1,3,5,20,1,1,0,1
810,65000160-012,2,0,2,10,15,0,1,0,5
811,65000160-007,2,0,2,5,17,0,1,0,14
812,65000160-010,0,3,5,15,3,0,0,1,8
813,65000160-009,4,0,2,7,1,0,0,0,5
814,65000160-015,4,0,2,2,11,0,0,0,14
815,65000160-002,2,0,2,15,17,0,1,0,10
816,65000100-001,8,2,1,0,16,1,2,0,10
817,65000100-023,2,0,2,7,17,0,1,1,14
818,65000100-020,0,3,0,15,5,0,1,1,7
819,65000100-012,2,0,2,10,18,0,1,0,0
820,65000100-038,2,0,2,19,10,0,1,0,14
821,65000100-027,1,1,3,14,4,0,1,0,13
822,65000100-016,4,0,2,8,4,1,0,0,10
823,65000100-009,2,2,1,19,4,1,2,0,10
824,65000100-042,2,2,1,23,0,1,1,0,8
825,65000100-041,2,2,1,15,11,0,1,0,5
826,65000100-002,8,2,1,0,4,1,1,0,7
827,65000100-008,2,0,2,20,18,1,1,0,0
828,65000100-040,0,3,0,7,1,0,1,1,6
829,65000100-014,2,2,1,8,4,1,1,0,0
830,65000100-007,8,2,1,0,4,1,2,0,0
831,65000100-031,2,0,2,19,10,0,1,0,15
832,65000100-035,2,0,2,18,12,1,1,0,4
833,65000100-036,2,0,2,1,14,0,1,0,12
834,65000100-030,2,0,2,8,16,0,1,0,6
835,65000100-034,2,0,2,1,17,0,1,0,12
836,65000100-010,2,0,2,18,12,0,1,0,4
837,65000100-015,2,2,1,8,4,1,2,0,0
838,65000100-037,8,2,1,1,11,0,1,0,12
839,65000100-029,1,1,3,0,16,0,1,0,3
840,65000100-039,8,4,5,2,14,0,1,1,4
841,65000100-019,0,3,0,15,0,0,1,1,10
842,65000100-013,2,2,1,0,9,0,1,0,9
843,65000100-011,2,0,2,18,8,0,1,0,4
844,65000100-028,1,1,3,11,16,0,1,0,13
845,65000100-033,2,2,1,7,1,1,1,0,7
846,65000100-032,2,0,2,15,8,1,1,0,2
847,65000100-025,1,4,3,14,4,0,1,0,13
848,65000100-017,0,3,0,15,18,0,1,1,8
849,65000100-018,8,4,5,13,0,0,1,1,4
850,65000100-021,2,2,1,10,2,0,1,0,2
851,65000100-006,2,2,1,19,1,1,2,0,7
852,65000100-004,2,0,2,8,9,1,2,0,7
853,65000100-026,1,4,5,8,16,0,1,1,3
854,65000100-005,8,2,1,0,4,1,2,0,0
855,65000100-003,8,2,1,0,9,1,1,0,7
856,65000100-022,0,3,0,13,18,0,1,1,14
857,65000100-024,1,4,5,14,4,0,1,1,13
858,65000180-003,4,0,2,19,1,1,0,0,10
859,65000180-006,4,0,2,2,8,1,0,0,14
860,65000180-004,4,0,2,0,9,1,0,0,9
861,65000180-001,4,0,2,7,1,1,0,0,14
862,65000180-007,8,2,1,19,9,1,1,0,0
863,65000180-002,8,2,1,7,9,1,1,0,4
864,65000180-008,8,2,1,19,10,1,0,0,5
865,65000180-005,2,0,2,0,16,1,1,0,0
866,65000290-004,2,2,1,0,16,1,1,0,9
867,65000290-005,8,2,1,0,16,1,1,0,9
868,65000290-002,2,2,1,19,9,0,1,0,9
869,65000290-001,2,0,2,19,1,0,1,0,9
870,65000290-003,2,2,1,19,4,0,1,0,9
871,65000120-027,8,2,1,4,16,1,2,0,13
872,65000120-028,8,2,1,4,16,1,2,0,13
873,65000120-010,2,2,1,0,9,1,1,0,9
874,65000120-013,4,0,2,19,9,1,0,0,9
875,65000120-015,8,2,1,4,16,1,1,0,0
876,65000120-032,8,2,1,8,16,1,1,0,9
877,65000120-012,2,2,1,7,17,1,1,0,4
878,65000120-011,2,2,1,0,9,1,1,0,0
879,65000120-018,4,0,2,8,16,1,0,0,8
880,65000120-020,4,0,2,4,16,1,0,0,4
881,65000120-016,4,0,2,8,16,1,0,0,0
882,65000120-023,4,0,2,3,16,1,0,0,14
883,65000120-034,4,0,2,19,17,1,0,0,0
884,65000120-009,4,0,2,0,9,1,0,0,8
885,65000120-008,4,0,2,0,4,1,0,0,5
886,65000120-019,4,0,2,4,16,1,0,0,14
887,65000120-029,2,2,1,8,9,1,1,0,0
888,65000120-031,8,2,1,0,9,1,1,0,2
889,65000120-007,8,2,1,7,17,1,2,0,13
890,65000120-014,8,2,1,8,16,1,1,0,10
891,65000120-030,4,0,2,19,9,1,0,0,10
892,65000120-024,4,0,2,21,16,1,0,0,5
893,65000120-026,4,0,2,21,16,1,0,0,5
894,65000120-017,8,2,1,21,16,1,2,0,9
895,65000120-021,4,0,2,4,16,1,0,0,4
896,65000120-025,4,0,2,4,16,1,0,0,5
897,65000120-022,4,0,2,4,16,1,0,0,14
898,65000120-033,2,2,1,8,4,1,2,0,10
899,65000120-006,4,0,2,0,16,1,0,0,4
900,65000120-005,4,0,2,0,9,1,0,0,5
901,65000120-004,4,0,2,14,9,1,0,0,12
902,65000120-001,4,0,2,14,16,1,0,0,12
903,65000120-002,4,0,2,14,9,1,0,0,12
904,65000120-003,4,0,2,8,4,1,0,0,4
905,65000190-008,8,2,1,0,4,1,1,0,0
906,65000190-009,8,2,1,21,16,1,1,0,9
907,65000190-005,8,2,1,8,16,1,1,0,0
908,65000190-012,2,2,1,0,4,1,1,0,9
909,65000190-011,2,2,1,0,16,1,2,0,9
910,65000190-007,2,2,1,0,16,1,1,0,9
911,65000190-002,2,2,1,8,4,1,1,0,9
912,65000190-004,2,2,1,21,16,1,1,0,9
913,65000190-001,2,2,1,0,16,1,1,0,14
914,65000190-010,2,0,2,8,16,1,1,0,5
915,65000190-006,8,2,1,4,16,1,1,0,9
916,65000190-003,2,0,2,0,16,1,1,0,0
917,65000220-007,2,2,1,4,16,1,1,0,9
918,65000220-002,2,2,1,0,9,1,2,0,7
919,65000220-006,4,0,2,19,9,1,0,0,7
920,65000220-004,4,0,2,8,4,1,0,0,7
921,65000220-001,2,2,1,0,4,1,2,0,7
922,65000220-005,4,0,2,19,9,1,0,0,7
923,65000220-003,2,2,1,19,1,1,2,0,7
924,65000220-008,2,2,1,8,16,1,1,0,9
925,65000220-009,8,2,1,0,4,1,1,0,9
926,65000280-009,8,2,1,0,4,1,0,0,0
927,65000280-010,4,0,2,7,17,1,0,0,14
928,65000280-004,2,2,1,19,17,1,1,0,0
929,65000280-008,8,2,1,0,16,1,2,0,13
930,65000280-007,2,2,1,4,16,1,1,0,9
931,65000280-005,8,2,1,0,16,1,0,0,9
932,65000280-001,4,0,2,15,3,1,0,0,0
933,65000280-003,2,2,1,7,17,1,1,0,9
934,65000280-006,2,2,1,8,4,1,1,0,9
935,65000280-002,4,0,2,8,1,1,0,0,0
936,65000140-002,1,1,3,18,8,1,1,1,1
937,65000140-025,1,1,3,1,1,1,1,1,13
938,65000140-003,1,1,3,1,1,1,1,0,13
939,65000140-024,8,2,1,9,3,1,1,0,13
940,65000140-013,1,4,5,11,9,1,1,1,13
941,65000140-027,1,4,5,9,8,1,1,1,13
942,65000140-022,1,4,5,9,3,1,1,1,13
943,65000140-028,1,1,3,9,3,1,1,1,13
944,65000140-005,1,4,5,5,1,1,1,1,1
945,65000140-012,1,4,5,14,9,1,1,1,1
946,65000140-030,0,3,0,19,1,1,1,1,8
947,65000140-018,1,4,3,9,17,1,1,0,13
948,65000140-029,1,1,3,9,17,1,1,0,13
949,65000140-004,1,1,3,9,8,1,1,1,13
950,65000140-015,1,0,2,18,3,0,1,1,4
951,65000140-036,8,2,1,9,17,1,1,0,13
952,65000140-026,1,1,3,7,1,1,1,0,1
953,65000140-014,1,4,5,1,1,1,1,1,13
954,65000140-020,2,2,1,15,17,1,1,0,8
955,65000140-033,1,4,3,22,9,1,1,0,13
956,65000140-023,1,1,3,1,1,1,1,0,13
957,65000140-009,1,4,5,18,3,1,1,1,1
958,65000140-037,1,1,3,12,15,1,1,0,1
959,65000140-007,2,0,2,18,3,1,1,0,4
960,65000140-011,1,1,3,22,1,1,1,1,13
961,65000140-001,0,3,0,10,12,1,1,1,8
962,65000140-032,3,4,5,14,1,1,1,1,1
963,65000140-021,2,2,1,10,6,1,1,0,8
964,65000140-006,1,0,2,18,6,1,1,1,4
965,65000140-035,8,2,1,23,3,1,1,0,13
966,65000140-017,1,1,3,12,15,1,1,0,13
967,65000140-038,1,1,3,23,17,1,1,0,13
968,65000140-016,2,0,2,12,3,0,1,0,12
969,65000140-010,1,4,5,5,1,1,1,1,1
970,65000140-019,2,2,1,23,3,1,1,0,12
971,65000140-034,1,4,5,22,1,1,1,1,13
972,65000140-031,1,1,3,23,3,1,1,0,13
973,65000140-008,1,4,5,23,8,1,1,1,1
974,65000260-007,2,2,1,0,9,1,1,0,0
975,65000260-002,8,2,1,21,16,1,1,0,9
976,65000260-011,2,2,1,8,4,1,1,0,9
977,65000260-008,2,2,1,8,9,1,1,0,7
978,65000260-009,2,2,1,4,4,1,2,0,9
979,65000260-006,4,0,2,8,9,1,0,0,7
980,65000260-010,8,2,1,4,4,1,1,0,9
981,65000260-001,2,0,2,8,4,1,1,0,9
982,65000260-003,2,0,2,4,16,1,1,0,7
983,65000260-004,2,0,2,21,16,1,1,0,9
984,65000260-005,4,0,2,8,16,1,0,0,7
985,65000270-010,8,2,1,8,16,1,2,0,10
986,65000270-006,4,0,2,19,9,1,0,0,9
987,65000270-008,8,2,1,0,16,1,1,0,0
988,65000270-009,4,0,2,0,16,1,0,0,10
989,65000270-001,4,0,2,8,16,1,0,0,12
990,65000270-002,4,0,2,8,4,1,0,0,12
991,65000270-014,8,2,1,8,16,1,1,0,0
992,65000270-011,8,2,1,0,4,1,0,0,5
993,65000270-004,4,0,2,19,9,1,0,0,15
994,65000270-005,4,0,2,15,17,1,0,0,8
995,65000270-012,8,2,1,8,16,1,1,0,2
996,65000270-013,8,2,1,4,16,1,2,0,0
997,65000270-003,8,2,1,0,16,1,1,0,14
998,65000270-007,2,2,1,8,4,1,1,0,9
999,65000270-015,4,0,2,2,3,1,0,0,14
1000,65000250-005,8,2,1,4,16,1,2,0,9
1001,65000250-007,2,2,1,4,16,1,1,0,9
1002,65000250-009,2,2,1,4,16,1,1,0,9
1003,65000250-002,4,0,2,4,16,1,0,0,0
1004,65000250-010,2,2,1,21,16,1,1,0,9
1005,65000250-008,4,0,2,8,4,1,0,0,9
1006,65000250-003,4,0,2,8,4,1,0,0,10
1007,65000250-012,8,2,1,8,4,1,1,0,9
1008,65000250-006,4,0,2,8,9,1,0,0,9
1009,65000250-011,2,2,1,21,16,1,1,0,9
1010,65000250-001,4,0,2,8,16,1,0,0,12
1011,65000250-004,4,0,2,4,16,1,0,0,9
1012,65000080-018,4,0,2,15,15,0,0,0,0
1013,65000080-005,4,0,2,14,4,0,0,0,12
1014,65000080-011,4,0,2,10,6,0,0,0,10
1015,65000080-012,2,0,2,0,4,0,1,0,5
1016,65000080-004,2,2,1,15,11,0,1,0,8
1017,65000080-009,4,0,2,7,17,0,0,0,10
1018,65000080-003,4,1,3,18,3,0,0,0,1
1019,65000080-007,4,0,2,19,4,0,0,0,4
1020,65000080-014,4,0,2,2,3,0,0,0,14
1021,65000080-010,4,0,2,10,15,0,0,0,10
1022,65000080-020,4,0,2,18,15,0,0,0,4
1023,65000080-006,8,2,1,0,16,0,1,0,10
1024,65000080-013,2,2,1,0,16,0,1,0,10
1025,65000080-001,4,0,2,0,4,0,0,0,14
1026,65000080-017,4,0,2,2,3,0,0,0,8
1027,65000080-008,4,0,2,10,6,0,0,0,8
1028,65000080-002,4,0,2,19,9,0,0,0,8
1029,65000080-019,4,1,3,2,3,0,0,0,1
1030,65000080-016,4,0,2,2,17,0,0,0,14
1031,65000080-015,4,0,2,15,3,0,0,0,5
1032,63000040-027,5,5,4,18,18,0,0,1,1
1033,63000040-031,5,5,4,5,13,0,0,1,1
1034,63000040-030,5,5,4,5,13,0,0,1,1
1035,63000040-033,5,5,4,2,19,0,0,1,1
1036,63000040-006,5,5,4,6,0,0,0,1,1
1037,63000040-023,5,5,4,6,0,0,0,1,1
1038,63000040-013,0,3,0,7,19,1,0,1,7
1039,63000040-039,5,5,4,13,5,0,0,1,1
1040,63000040-042,0,3,0,7,19,1,0,1,14
1041,63000040-012,0,3,0,7,14,0,0,1,15
1042,63000040-037,5,5,4,14,19,0,0,1,1
1043,63000040-017,7,0,0,0,4,0,0,1,2
1044,63000040-014,0,3,0,10,7,1,0,1,8
1045,63000040-005,5,5,4,14,10,0,0,1,1
1046,63000040-040,5,5,4,5,5,0,0,1,1
1047,63000040-010,5,5,4,1,13,0,0,1,1
1048,63000040-015,5,5,4,10,7,1,0,1,3
1049,63000040-018,5,5,4,23,0,0,0,1,13
1050,63000040-019,0,3,0,15,0,0,0,1,15
1051,63000040-022,5,5,4,6,0,0,0,1,1
1052,63000040-020,5,5,4,6,0,0,0,1,1
1053,63000040-011,5,3,0,6,13,0,0,1,12
1054,63000040-036,5,5,4,2,5,0,0,1,1
1055,63000040-038,5,5,4,14,19,0,0,1,1
1056,63000040-034,5,5,4,18,13,0,0,1,1
1057,63000040-021,5,5,4,18,13,0,0,1,1
1058,63000040-001,5,5,4,5,19,0,0,1,13
1059,63000040-003,5,5,4,5,19,0,0,1,1
1060,63000040-002,5,5,4,6,0,0,0,1,1
1061,63000040-004,5,5,4,5,13,0,0,1,1
1062,63000040-016,5,5,4,18,7,1,0,1,3
1063,63000040-028,5,5,4,18,2,0,0,1,1
1064,63000040-029,5,5,4,18,2,0,0,1,1
1065,63000040-007,5,5,4,6,20,0,0,1,13
